idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error,success_rate
0.000000000000000000e+00,5.000000000000000278e-02,2.719204004884150372e-01,1.141020885660090772e-01,2.798026041810450226e-01,1.158216613946988494e-01,5.999999999999999778e-01
0.000000000000000000e+00,6.133333333333333692e-02,2.091657809730464446e-01,1.399484485162816039e-01,1.801655401072489171e-01,1.034634339125886648e-01,9.000000000000000222e-01
0.000000000000000000e+00,7.266666666666667107e-02,1.777332123616316428e-01,1.346232977109586837e-01,1.450824270472705624e-01,8.131160114228262736e-02,9.000000000000000222e-01
0.000000000000000000e+00,8.399999999999999134e-02,1.327914753634717171e-01,7.265274423950819627e-02,1.402446709691893834e-01,7.643802838676273803e-02,8.000000000000000444e-01
0.000000000000000000e+00,9.533333333333332549e-02,1.352173475081597520e-01,7.204062540477439158e-02,1.428543960036251781e-01,7.526300876209494894e-02,8.000000000000000444e-01
0.000000000000000000e+00,1.066666666666666596e-01,1.418849646605266357e-01,6.870008575436840903e-02,1.494386666685740273e-01,7.172590692367783460e-02,8.000000000000000444e-01
0.000000000000000000e+00,1.179999999999999938e-01,1.491983615976372468e-01,6.634596942705027478e-02,1.566649667994120254e-01,6.890797294937635320e-02,8.000000000000000444e-01
0.000000000000000000e+00,1.293333333333333279e-01,1.553580743151308785e-01,6.729715166624128386e-02,1.627623597972832625e-01,6.947573266803273861e-02,8.000000000000000444e-01
0.000000000000000000e+00,1.406666666666666621e-01,1.605870668427859249e-01,7.006592375678959150e-02,1.679030761136859617e-01,7.200323779925005274e-02,8.000000000000000444e-01
0.000000000000000000e+00,1.519999999999999962e-01,1.646459010661050770e-01,7.384133790384216078e-02,1.717942040229573364e-01,7.555488408563953984e-02,8.000000000000000444e-01
0.000000000000000000e+00,1.633333333333333304e-01,1.682591280016782487e-01,7.805400129748692184e-02,1.752528689140570584e-01,7.961983627460407498e-02,8.000000000000000444e-01
0.000000000000000000e+00,1.746666666666666645e-01,1.716948678414645379e-01,8.219659505600189486e-02,1.785440225869830977e-01,8.365313947996169675e-02,8.000000000000000444e-01
0.000000000000000000e+00,1.859999999999999987e-01,1.751895994669432077e-01,8.616673896939811006e-02,1.819104049567284720e-01,8.758757789610308042e-02,8.000000000000000444e-01
0.000000000000000000e+00,1.973333333333333051e-01,1.784937170801319806e-01,9.005570611357033295e-02,1.849093847327328288e-01,9.141728808544492824e-02,8.000000000000000444e-01
0.000000000000000000e+00,2.086666666666666670e-01,1.818762484312358152e-01,9.421177171126497718e-02,1.879067348518090319e-01,9.554368557704216725e-02,8.000000000000000444e-01
0.000000000000000000e+00,2.200000000000000011e-01,1.856479125786891782e-01,9.886051656739963667e-02,1.915392116333156092e-01,1.004736226590475789e-01,8.000000000000000444e-01
1.000000000000000000e+00,5.000000000000000278e-02,2.544922235413107914e-01,1.000551695550092324e-01,2.633239236088543156e-01,1.024094785564843707e-01,5.999999999999999778e-01
1.000000000000000000e+00,6.133333333333333692e-02,1.878846952045014063e-01,1.091374065832954460e-01,1.963512267655123933e-01,1.121830963554460020e-01,9.000000000000000222e-01
1.000000000000000000e+00,7.266666666666667107e-02,1.501427632580850657e-01,8.335291300406698356e-02,1.568045847803198334e-01,8.685814571253676342e-02,9.000000000000000222e-01
1.000000000000000000e+00,8.399999999999999134e-02,1.434626569464355905e-01,7.734564143473679487e-02,1.500817974964399892e-01,8.109369505361865849e-02,9.000000000000000222e-01
1.000000000000000000e+00,9.533333333333332549e-02,1.443354322412779556e-01,7.493508854051023071e-02,1.513741538790124297e-01,7.875829641158388350e-02,9.000000000000000222e-01
1.000000000000000000e+00,1.066666666666666596e-01,1.533597472508441140e-01,7.507384845921906413e-02,1.726533541349077328e-01,1.011639100864763913e-01,9.000000000000000222e-01
1.000000000000000000e+00,1.179999999999999938e-01,1.588927087441688868e-01,6.853294942133374146e-02,1.784225038625619209e-01,9.534730791835681341e-02,9.000000000000000222e-01
1.000000000000000000e+00,1.293333333333333279e-01,1.598362848004611092e-01,6.037091449432083201e-02,1.680630564987340148e-01,6.542915574460803074e-02,9.000000000000000222e-01
1.000000000000000000e+00,1.406666666666666621e-01,1.629891340833012625e-01,5.914255987009154475e-02,1.697336076807271221e-01,6.274641527083749115e-02,9.000000000000000222e-01
1.000000000000000000e+00,1.519999999999999962e-01,1.662506410088072650e-01,6.035169565989254720e-02,1.728053139833536644e-01,6.367866896632337625e-02,9.000000000000000222e-01
1.000000000000000000e+00,1.633333333333333304e-01,1.693052104130104429e-01,6.261029737505080517e-02,1.756928324667920427e-01,6.568527356981054832e-02,9.000000000000000222e-01
1.000000000000000000e+00,1.746666666666666645e-01,1.723902457110725317e-01,6.549537218191568699e-02,1.786447293717541573e-01,6.839191099595616496e-02,9.000000000000000222e-01
1.000000000000000000e+00,1.859999999999999987e-01,1.756766311477890863e-01,6.896585245610734050e-02,1.818498885723806580e-01,7.181689475986346993e-02,9.000000000000000222e-01
1.000000000000000000e+00,1.973333333333333051e-01,1.786672505077737672e-01,7.252662439431165065e-02,1.848377048820355195e-01,7.540879553790397205e-02,9.000000000000000222e-01
1.000000000000000000e+00,2.086666666666666670e-01,1.804205557800716564e-01,7.609141264868042598e-02,1.864697280120035938e-01,7.899922279992764584e-02,9.000000000000000222e-01
1.000000000000000000e+00,2.200000000000000011e-01,1.831905993548067213e-01,8.074394310026422605e-02,1.896149689300053731e-01,8.457594533279678972e-02,9.000000000000000222e-01
