idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error,success_rate
0.000000000000000000e+00,5.000000000000000278e-02,2.415125722023017119e-01,1.297806974742552188e-01,2.308082423721531939e-01,1.269757309620618280e-01,9.000000000000000222e-01
0.000000000000000000e+00,6.133333333333333692e-02,1.474074653981892191e-01,1.258699683875868502e-01,1.537348315756591755e-01,1.280177246939925018e-01,1.000000000000000000e+00
0.000000000000000000e+00,7.266666666666667107e-02,1.339105813825499924e-01,1.288267693242016732e-01,1.386016586002813133e-01,1.314699574266061932e-01,1.000000000000000000e+00
0.000000000000000000e+00,8.399999999999999134e-02,1.427979524548317336e-01,1.491303632277372337e-01,1.476005902626074950e-01,1.521574234723241381e-01,1.000000000000000000e+00
0.000000000000000000e+00,9.533333333333332549e-02,1.103493852867796776e-01,1.124586868384073041e-01,1.144801235388732130e-01,1.145008824978130946e-01,9.000000000000000222e-01
0.000000000000000000e+00,1.066666666666666596e-01,1.167189492435437986e-01,1.198783029425147806e-01,1.209578278869669343e-01,1.220641180329137682e-01,9.000000000000000222e-01
0.000000000000000000e+00,1.179999999999999938e-01,1.226929981772947181e-01,1.237593871412779600e-01,1.272337505875038299e-01,1.259497922614911669e-01,9.000000000000000222e-01
0.000000000000000000e+00,1.293333333333333279e-01,1.270673915385763519e-01,1.247110057972301289e-01,1.318554539729060171e-01,1.269366976387479584e-01,9.000000000000000222e-01
0.000000000000000000e+00,1.406666666666666621e-01,1.300765995202030068e-01,1.233759429713378458e-01,1.350385772427029618e-01,1.256740472240241713e-01,9.000000000000000222e-01
0.000000000000000000e+00,1.519999999999999962e-01,1.319726294149241030e-01,1.208146942975307780e-01,1.370573721197215489e-01,1.232591893238180192e-01,9.000000000000000222e-01
0.000000000000000000e+00,1.633333333333333304e-01,1.329584542159967797e-01,1.171623586876340967e-01,1.380898366300704061e-01,1.197156458584615751e-01,9.000000000000000222e-01
0.000000000000000000e+00,1.746666666666666645e-01,1.333661504181570256e-01,1.128155754348477285e-01,1.385076061634041289e-01,1.154745911784685053e-01,9.000000000000000222e-01
0.000000000000000000e+00,1.859999999999999987e-01,1.334854537677187258e-01,1.082218611676009079e-01,1.386659714892860551e-01,1.110738214500621435e-01,9.000000000000000222e-01
0.000000000000000000e+00,1.973333333333333051e-01,1.335563527272579931e-01,1.038217394742495386e-01,1.387656605035747504e-01,1.068083441369318959e-01,9.000000000000000222e-01
0.000000000000000000e+00,2.086666666666666670e-01,1.336969581134169194e-01,9.976247486213012106e-02,1.388852866988516954e-01,1.027584216335229034e-01,9.000000000000000222e-01
0.000000000000000000e+00,2.200000000000000011e-01,1.340974080408899594e-01,9.565841863492173525e-02,1.393456560631840258e-01,9.871299660307264467e-02,9.000000000000000222e-01
1.000000000000000000e+00,5.000000000000000278e-02,2.440028338510872030e-01,1.432278645629080915e-01,2.278094305553551302e-01,1.340653110488730926e-01,9.000000000000000222e-01
1.000000000000000000e+00,6.133333333333333692e-02,1.473192276201017725e-01,1.251452083198765497e-01,1.546299562726263233e-01,1.297142577794403173e-01,1.000000000000000000e+00
1.000000000000000000e+00,7.266666666666667107e-02,1.326623030559197225e-01,1.285899199006780291e-01,1.383845950300148786e-01,1.335128657942049324e-01,1.000000000000000000e+00
1.000000000000000000e+00,8.399999999999999134e-02,1.409904461985454216e-01,1.490898806730626969e-01,1.070485173964262487e-01,1.039932332818627458e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.533333333333332549e-02,1.083046213253622686e-01,1.133289060456861286e-01,1.124472923296815641e-01,1.162788651775048948e-01,9.000000000000000222e-01
1.000000000000000000e+00,1.066666666666666596e-01,1.143754908112751406e-01,1.215747490426120903e-01,1.185658047617300093e-01,1.247398345892060667e-01,9.000000000000000222e-01
1.000000000000000000e+00,1.179999999999999938e-01,1.207835465977763062e-01,1.259827180888719311e-01,1.252356189284571097e-01,1.293083481349911745e-01,9.000000000000000222e-01
1.000000000000000000e+00,1.293333333333333279e-01,1.253302293653669464e-01,1.269150906252369537e-01,1.300558346382632846e-01,1.302918880627402243e-01,9.000000000000000222e-01
1.000000000000000000e+00,1.406666666666666621e-01,1.285775366688898247e-01,1.257768193510437338e-01,1.334975352356369271e-01,1.291806629140964668e-01,9.000000000000000222e-01
1.000000000000000000e+00,1.519999999999999962e-01,1.305227299496542759e-01,1.228213843619467421e-01,1.356205813415557460e-01,1.264393989659145512e-01,9.000000000000000222e-01
1.000000000000000000e+00,1.633333333333333304e-01,1.316522094325433545e-01,1.188254065802754056e-01,1.368593817888771047e-01,1.225952806840167886e-01,9.000000000000000222e-01
1.000000000000000000e+00,1.746666666666666645e-01,1.321448907518410487e-01,1.139467612872445135e-01,1.374062112647861655e-01,1.177704027278146659e-01,9.000000000000000222e-01
1.000000000000000000e+00,1.859999999999999987e-01,1.321715090663458936e-01,1.082925956965443970e-01,1.374375774409432038e-01,1.120681193683087801e-01,9.000000000000000222e-01
1.000000000000000000e+00,1.973333333333333051e-01,1.320188706940540191e-01,1.023756108267285664e-01,1.373504344182384096e-01,1.062385418601696080e-01,9.000000000000000222e-01
1.000000000000000000e+00,2.086666666666666670e-01,1.322584502459352440e-01,9.747113296780715586e-02,1.376304960909609798e-01,1.013513483576764102e-01,9.000000000000000222e-01
1.000000000000000000e+00,2.200000000000000011e-01,1.329208612557585822e-01,9.232970451501770759e-02,1.383888274615422964e-01,9.618021894221349954e-02,9.000000000000000222e-01
