idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error,success_rate
0.000000000000000000e+00,5.000000000000000278e-02,nan,nan,nan,nan,0.000000000000000000e+00
0.000000000000000000e+00,6.133333333333333692e-02,2.421864021149523760e-01,8.386903618883979894e-02,2.617238328531996117e-01,9.168229086618304158e-02,4.000000000000000222e-01
0.000000000000000000e+00,7.266666666666667107e-02,2.809764814825834733e-01,1.347768041999749811e-01,2.884812999685322787e-01,1.339591744591187572e-01,5.999999999999999778e-01
0.000000000000000000e+00,8.399999999999999134e-02,2.784924506887541118e-01,1.243234182712084218e-01,2.858825070855132156e-01,1.234617350873488534e-01,5.999999999999999778e-01
0.000000000000000000e+00,9.533333333333332549e-02,2.862031558481732962e-01,1.204944941118025886e-01,2.933515621543501539e-01,1.195269345882613715e-01,5.999999999999999778e-01
0.000000000000000000e+00,1.066666666666666596e-01,2.551347025254828704e-01,8.841984940474754973e-02,2.622827672716215863e-01,8.712718182583353843e-02,5.000000000000000000e-01
0.000000000000000000e+00,1.179999999999999938e-01,2.631939979415335862e-01,9.594491565804418032e-02,2.701991789711270520e-01,9.430350156610664558e-02,5.000000000000000000e-01
0.000000000000000000e+00,1.293333333333333279e-01,2.718518238523353614e-01,1.074568425514776243e-01,2.791934563673174052e-01,1.059137851065698605e-01,5.000000000000000000e-01
0.000000000000000000e+00,1.406666666666666621e-01,2.836732405978334981e-01,1.246901031730336812e-01,2.931940171318778710e-01,1.262998210102810048e-01,5.000000000000000000e-01
0.000000000000000000e+00,1.519999999999999962e-01,2.383690817922379801e-01,9.482070376030468650e-02,2.462859972709189327e-01,9.345752670342008517e-02,4.000000000000000222e-01
0.000000000000000000e+00,1.633333333333333304e-01,2.408915603464985566e-01,9.788044101883174031e-02,2.486894975659396934e-01,9.643763431091444127e-02,4.000000000000000222e-01
0.000000000000000000e+00,1.746666666666666645e-01,2.446045295043636769e-01,1.017134435607973536e-01,2.522675546238773436e-01,1.002061155708109802e-01,4.000000000000000222e-01
0.000000000000000000e+00,1.859999999999999987e-01,2.994112165282599713e-01,1.378710945151843115e-01,2.571579703218122015e-01,1.050292099079083719e-01,5.000000000000000000e-01
0.000000000000000000e+00,1.973333333333333051e-01,3.002354966994600360e-01,1.345722258612848943e-01,3.093724543786099956e-01,1.358385538382155255e-01,5.000000000000000000e-01
0.000000000000000000e+00,2.086666666666666670e-01,3.000542550774545902e-01,1.307695498063997930e-01,3.099748848422460012e-01,1.328083605807198753e-01,5.000000000000000000e-01
0.000000000000000000e+00,2.200000000000000011e-01,3.031660357577958820e-01,1.315526065137423428e-01,3.131980680080895252e-01,1.334926904822653915e-01,5.000000000000000000e-01
1.000000000000000000e+00,5.000000000000000278e-02,nan,nan,nan,nan,0.000000000000000000e+00
1.000000000000000000e+00,6.133333333333333692e-02,2.769701270136160631e-01,1.144041051732512110e-01,2.881786287976680905e-01,1.113474692823095968e-01,5.000000000000000000e-01
1.000000000000000000e+00,7.266666666666667107e-02,2.685166496609391884e-01,1.230983916348156321e-01,2.765952807179469231e-01,1.221342329360152607e-01,5.999999999999999778e-01
1.000000000000000000e+00,8.399999999999999134e-02,2.650313297936258139e-01,1.123918363055175507e-01,2.730752544789603053e-01,1.111295992497766671e-01,5.999999999999999778e-01
1.000000000000000000e+00,9.533333333333332549e-02,2.728320158877378110e-01,1.075661884368032950e-01,2.805249655277224918e-01,1.064819350945281629e-01,5.999999999999999778e-01
1.000000000000000000e+00,1.066666666666666596e-01,2.826849327933865230e-01,1.083277545346168214e-01,2.899350815900512135e-01,1.074029272534274271e-01,5.999999999999999778e-01
1.000000000000000000e+00,1.179999999999999938e-01,2.922486423147894752e-01,1.138087412027837947e-01,2.993969872790334663e-01,1.129621557054223124e-01,5.999999999999999778e-01
1.000000000000000000e+00,1.293333333333333279e-01,2.604951298768135026e-01,8.871095598254188919e-02,2.674921782035707407e-01,8.693115097311956974e-02,5.000000000000000000e-01
1.000000000000000000e+00,1.406666666666666621e-01,2.695183113830584842e-01,1.026622762244625564e-01,2.767833736054098326e-01,1.013901292465582971e-01,5.000000000000000000e-01
1.000000000000000000e+00,1.519999999999999962e-01,2.824479339085552709e-01,1.227319276038462276e-01,2.385418648214920334e-01,7.345711602130013118e-02,5.000000000000000000e-01
1.000000000000000000e+00,1.633333333333333304e-01,2.335581921530937854e-01,7.818913668515872772e-02,2.410400838123676059e-01,7.681730506421852178e-02,4.000000000000000222e-01
1.000000000000000000e+00,1.746666666666666645e-01,2.371642118584509906e-01,8.267361251411090017e-02,2.445538485894102609e-01,8.125557863382566748e-02,4.000000000000000222e-01
1.000000000000000000e+00,1.859999999999999987e-01,2.419581797881920071e-01,8.790582996149458317e-02,2.492954336395553361e-01,8.644937286455410541e-02,4.000000000000000222e-01
1.000000000000000000e+00,1.973333333333333051e-01,2.974394944430258092e-01,1.301439225536227540e-01,2.549339187812144636e-01,9.216922084272226312e-02,5.000000000000000000e-01
1.000000000000000000e+00,2.086666666666666670e-01,3.006635574447584780e-01,1.292404329686488718e-01,2.611864844610121139e-01,9.830821567106805270e-02,5.000000000000000000e-01
1.000000000000000000e+00,2.200000000000000011e-01,3.027754488142242462e-01,1.273164932263185223e-01,3.126407071158900375e-01,1.299935885246798761e-01,5.000000000000000000e-01
