idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error,success_rate
0.000000000000000000e+00,5.000000000000000278e-02,1.034059043813472661e-01,4.387615014991030904e-02,1.107685885089708389e-01,4.653822752314549366e-02,1.000000000000000000e+00
0.000000000000000000e+00,6.133333333333333692e-02,5.367564048149085082e-02,2.375417005100125684e-02,5.669827405845182661e-02,2.496816505936324745e-02,1.000000000000000000e+00
0.000000000000000000e+00,7.266666666666667107e-02,4.544442221458214887e-02,1.844242590293085002e-02,4.777012336065337289e-02,1.913103168293576670e-02,1.000000000000000000e+00
0.000000000000000000e+00,8.399999999999999134e-02,4.421228103166237322e-02,1.760636251436588709e-02,4.646050087170858905e-02,1.826687531064993125e-02,1.000000000000000000e+00
0.000000000000000000e+00,9.533333333333332549e-02,4.436833624635944107e-02,1.748617515339477221e-02,4.665150226020909480e-02,1.821846083885084525e-02,1.000000000000000000e+00
0.000000000000000000e+00,1.066666666666666596e-01,4.516729762012651472e-02,1.653614436736584523e-02,4.735826665841352812e-02,1.758628679958913754e-02,1.000000000000000000e+00
0.000000000000000000e+00,1.179999999999999938e-01,4.635545296636488927e-02,1.532064955022961576e-02,4.856832659673664121e-02,1.650921175043331551e-02,1.000000000000000000e+00
0.000000000000000000e+00,1.293333333333333279e-01,4.739075273281025125e-02,1.489428668155864076e-02,4.967151461354143288e-02,1.618074963309556330e-02,1.000000000000000000e+00
0.000000000000000000e+00,1.406666666666666621e-01,4.844094539755337825e-02,1.514995635059798729e-02,5.083534676144313424e-02,1.657929442051594635e-02,1.000000000000000000e+00
0.000000000000000000e+00,1.519999999999999962e-01,4.949221141515359329e-02,1.594432008850571111e-02,5.202966214079093182e-02,1.757355384078674795e-02,1.000000000000000000e+00
0.000000000000000000e+00,1.633333333333333304e-01,5.052696884302897151e-02,1.704718677119443360e-02,5.321152503665023403e-02,1.890967092225883869e-02,1.000000000000000000e+00
0.000000000000000000e+00,1.746666666666666645e-01,5.156942295676510829e-02,1.830135882196447933e-02,5.439902125334267202e-02,2.040607122860029626e-02,1.000000000000000000e+00
0.000000000000000000e+00,1.859999999999999987e-01,5.262321369632567969e-02,1.960922882139396611e-02,5.559220801191527839e-02,2.195013603772978661e-02,1.000000000000000000e+00
0.000000000000000000e+00,1.973333333333333051e-01,5.363915454973000596e-02,2.084519965991103729e-02,5.669113289660666910e-02,2.331202523501654453e-02,1.000000000000000000e+00
0.000000000000000000e+00,2.086666666666666670e-01,5.473010723515864262e-02,2.215302616217867601e-02,5.789737666523579740e-02,2.480165401428786887e-02,1.000000000000000000e+00
0.000000000000000000e+00,2.200000000000000011e-01,5.586915341189437750e-02,2.332146448131420385e-02,5.915063234183320917e-02,2.606110863574805786e-02,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000278e-02,1.086659829391999621e-01,5.150181992760247823e-02,1.158313770552817645e-01,5.397186123947095293e-02,1.000000000000000000e+00
1.000000000000000000e+00,6.133333333333333692e-02,5.586322836989345703e-02,2.601171094545116219e-02,5.846526808583683149e-02,2.683375060485755637e-02,1.000000000000000000e+00
1.000000000000000000e+00,7.266666666666667107e-02,4.716619154711304551e-02,2.001979408310762543e-02,4.922429186727948769e-02,2.038428216484314617e-02,1.000000000000000000e+00
1.000000000000000000e+00,8.399999999999999134e-02,4.569327148919795356e-02,1.899082199083093961e-02,4.766341628859784019e-02,1.928393039090487218e-02,1.000000000000000000e+00
1.000000000000000000e+00,9.533333333333332549e-02,4.565686250011455338e-02,1.861178407097583906e-02,4.761567825268480519e-02,1.889716488281894397e-02,1.000000000000000000e+00
1.000000000000000000e+00,1.066666666666666596e-01,4.616168634850813246e-02,1.743436951156681833e-02,4.803878088405157815e-02,1.783543432264624376e-02,1.000000000000000000e+00
1.000000000000000000e+00,1.179999999999999938e-01,4.735727605994283218e-02,1.554634717510177885e-02,4.915628595180077109e-02,1.607080176164101676e-02,1.000000000000000000e+00
1.000000000000000000e+00,1.293333333333333279e-01,4.837630198540724541e-02,1.440099560464353987e-02,5.016309527422337794e-02,1.494771967974853691e-02,1.000000000000000000e+00
1.000000000000000000e+00,1.406666666666666621e-01,4.935738377844640923e-02,1.394188913667741489e-02,5.118305185186437789e-02,1.451905114691795159e-02,1.000000000000000000e+00
1.000000000000000000e+00,1.519999999999999962e-01,5.035886514444302270e-02,1.406739652968756055e-02,5.227320842864632139e-02,1.473548499377611010e-02,1.000000000000000000e+00
1.000000000000000000e+00,1.633333333333333304e-01,5.138523860091605971e-02,1.458667502777477240e-02,5.341290785430906352e-02,1.540054993258800978e-02,1.000000000000000000e+00
1.000000000000000000e+00,1.746666666666666645e-01,5.244523375934492110e-02,1.533786640705620853e-02,5.460082738656081569e-02,1.633176942355295605e-02,1.000000000000000000e+00
1.000000000000000000e+00,1.859999999999999987e-01,5.351560115044916299e-02,1.618547645770725824e-02,5.580348747300192119e-02,1.737010233781951379e-02,1.000000000000000000e+00
1.000000000000000000e+00,1.973333333333333051e-01,5.457248537656045340e-02,1.704050212573355108e-02,5.698531371642698989e-02,1.840490574626835532e-02,1.000000000000000000e+00
1.000000000000000000e+00,2.086666666666666670e-01,5.560430229402651969e-02,1.785071545075244542e-02,5.812458947253083125e-02,1.936486843937052296e-02,1.000000000000000000e+00
1.000000000000000000e+00,2.200000000000000011e-01,5.669891871074249357e-02,1.858212848821080496e-02,5.934136003332397824e-02,2.021225084120468682e-02,1.000000000000000000e+00
